Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.09     0.00    10404     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)> >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>)
  0.00      0.09     0.00    10404     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)> >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>)
  0.00      0.09     0.00    10404     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)> >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(HSLA const&, HSLA const&)>)
  0.00      0.09     0.00     9892     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::size() const
  0.00      0.09     0.00     7421     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::_M_max_size() const
  0.00      0.09     0.00     5715     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_M_get_Tp_allocator()
  0.00      0.09     0.00     4948     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.09     0.00     4947     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::max_size() const
  0.00      0.09     0.00     4947     0.00     0.00  std::allocator_traits<std::allocator<HSLA> >::max_size(std::allocator<HSLA> const&)
  0.00      0.09     0.00     4947     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::_S_max_size(std::allocator<HSLA> const&)
  0.00      0.09     0.00     4946     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_M_get_Tp_allocator() const
  0.00      0.09     0.00     4946     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::max_size() const
  0.00      0.09     0.00     4946     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::_S_relocate(HSLA*, HSLA*, HSLA*, std::allocator<HSLA>&)
  0.00      0.09     0.00     4946     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::_S_do_relocate(HSLA*, HSLA*, HSLA*, std::allocator<HSLA>&, std::integral_constant<bool, true>)
  0.00      0.09     0.00     4946     0.00     0.00  HSLA* std::__relocate_a<HSLA*, HSLA*, std::allocator<HSLA> >(HSLA*, HSLA*, HSLA*, std::allocator<HSLA>&)
  0.00      0.09     0.00     4946     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<HSLA, void>::value, HSLA*>::type std::__relocate_a_1<HSLA, HSLA>(HSLA*, HSLA*, HSLA*, std::allocator<HSLA>&)
  0.00      0.09     0.00     3243     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::begin()
  0.00      0.09     0.00     3242     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::end()
  0.00      0.09     0.00     2730     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_M_deallocate(HSLA*, unsigned long)
  0.00      0.09     0.00     2474     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::deallocate(HSLA*, unsigned long)
  0.00      0.09     0.00     2474     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::allocate(unsigned long, void const*)
  0.00      0.09     0.00     2474     0.00     0.00  std::_Vector_base<HSLA, std::allocator<HSLA> >::_M_allocate(unsigned long)
  0.00      0.09     0.00     2474     0.00     0.00  std::allocator_traits<std::allocator<HSLA> >::deallocate(std::allocator<HSLA>&, HSLA*, unsigned long)
  0.00      0.09     0.00     2474     0.00     0.00  std::allocator_traits<std::allocator<HSLA> >::allocate(std::allocator<HSLA>&, unsigned long)
  0.00      0.09     0.00     2473     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >::_M_check_len(unsigned long, char const*) const
  0.00      0.09     0.00     2473     0.00     0.00  void std::vector<HSLA, std::allocator<HSLA> >::_M_realloc_insert<HSLA const&>(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >, HSLA const&)
  0.00      0.09     0.00     2473     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.09     0.00     1538     0.00     0.00  HSLA* std::__niter_base<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >)
  0.00      0.09     0.00     1024     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > std::__miter_base<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > >)
  0.00      0.09     0.00     1020     0.00     0.00  std::remove_reference<HSLA*&>::type&& std::move<HSLA*&>(HSLA*&)
  0.00      0.09     0.00      766     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > >(__gnu_cxx::__normal_iterator<HSLA*, std::vector<HSLA, std::allocator<HSLA> > > const&)
  0.00      0.09     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.09     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.09     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.09     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.09     0.00      512     0.00     0.00  __gnu_cxx::__normal_iterator<HSLA const*, std::vector<HSLA, std::allocator<HSLA> > >::base() const
  0.00      0.09     0.00      512     0.00     0.00  std::vector<HSLA, std::allocator<HSLA> >* std::__addressof<std::vector<HSLA, std::allocator<HSLA> > >(std::vector<HSLA, std::allocator<HSLA> >&)
  0.00      0.09     0.00      510     0.00     0.00  std::move_iterator<HSLA*>::base() const
  0.00      0.09     0.00      510     0.00     0.00  HSLA* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<HSLA>(HSLA const*, HSLA const*, HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  std::move_iterator<HSLA*>::move_iterator(HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<HSLA*>(std::move_iterator<HSLA*>)
  0.00      0.09     0.00      510     0.00     0.00  HSLA* std::__miter_base<HSLA*>(HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  HSLA* std::__niter_wrap<HSLA*>(HSLA* const&, HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  HSLA* std::__copy_move_a1<false, HSLA*, HSLA*>(HSLA*, HSLA*, HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  HSLA* std::__copy_move_a2<false, HSLA*, HSLA*>(HSLA*, HSLA*, HSLA*)
  0.00      0.09     0.00      510     0.00     0.00  std::move_iterator<HSLA*> std::make_move_iterator<HSLA*>(HSLA*)
  0.00      0.09     0.00      259     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::~new_allocator()
  0.00      0.09     0.00      259     0.00     0.00  std::allocator<HSLA>::~allocator()
  0.00      0.09     0.00      258     0.00     0.00  void std::_Destroy_aux<true>::__destroy<HSLA*>(HSLA*, HSLA*)
  0.00      0.09     0.00      258     0.00     0.00  void std::_Destroy<HSLA*>(HSLA*, HSLA*)
  0.00      0.09     0.00      258     0.00     0.00  void std::_Destroy<HSLA*, HSLA>(HSLA*, HSLA*, std::allocator<HSLA>&)
  0.00      0.09     0.00      257     0.00     0.00  __gnu_cxx::new_allocator<HSLA>::new_allocator()
  0.00      0.09     0.00      257     0.00     0.00  std::vector<std::vector<HSLA, std::allocator<HSLA> >, std::allocator<std::vector<HSLA, std::allocator<HSLA> > > >::size() const
